,Train_Accuracy,Train_loss
0,0.8190756289690149,0.5664875174687356
1,0.9429691896385172,0.18600962261984996
2,0.9580112091299533,0.1380429427747299
3,0.9655742354753638,0.11078180920551806
4,0.9699719958946484,0.09632314758568335
5,0.9737815220816797,0.08474555436041759
6,0.9754902054281795,0.07897481857864212
7,0.9790476303474576,0.06824893766168912
8,0.9788795617782101,0.06793373086716697
9,0.9808683579041511,0.062013936465141736
10,0.9817647164275333,0.05856849970191676
11,0.9821568730832482,0.05639846851861402
12,0.9824369858626892,0.05519462227710478
13,0.9859383860889938,0.04331123734059997
14,0.9860784413099957,0.04573830494921947
15,0.9856302629665834,0.04700653122461477
16,0.9866666760431284,0.0405807100152936
17,0.9871428672339068,0.041431536016912726
18,0.9870868453792497,0.040624212821246404
19,0.9880952474449863,0.03667185188881552
20,0.9887675158783835,0.03514191908833599
21,0.9894397841448209,0.03319581143257367
22,0.9890476273221462,0.033868131959218666
23,0.9881792803104518,0.03448029993628921
24,0.9903361433360423,0.029175252486046414
25,0.9892156953905143,0.031529779874338804
26,0.9898599524791835,0.030986300039761216
27,0.990140064089906,0.030651799756127047
28,0.9904481872123163,0.028009301949803084
29,0.9903921653576592,0.028219018017850993
30,0.9906722766344621,0.028736413009262562
31,0.9914005670894762,0.025860257760060075
32,0.9915686351578442,0.026277474481928756
33,0.9916806797019574,0.025211462252923346
34,0.9930532279134798,0.022397810972983108
35,0.9910364229472077,0.02654832139970273
36,0.9917647134022218,0.025270398180005375
37,0.9931372614467845,0.02220075373693222
38,0.9917927242460705,0.0244832167647132
39,0.9927170936133013,0.022548322415769137
40,0.9920448250129443,0.02369041622726244
41,0.9929972052240238,0.020598336773649306
42,0.9930812385903687,0.021056286172555883
43,0.9928851608468705,0.020823469426184866
44,0.993753507023766,0.019418379433253512
45,0.9930812387573285,0.021376112316776177
46,0.9929131716907191,0.021423676129380315
47,0.9928851603459912,0.02264350690603053
48,0.9928851606799107,0.02087319999336818
49,0.9927731159688378,0.021605514929970957
50,0.9940896411569846,0.017502133484492182
51,0.9935854399571565,0.02042009685457885
52,0.9936134513018846,0.01922944620285406
53,0.9935014065908117,0.019553767575905854
54,0.9939215742573351,0.018574966357255234
55,0.9940616299792164,0.017855991356509168
56,0.9941456638464407,0.018437934947687303
57,0.9940056072897604,0.01820183384917182
58,0.9937815183684939,0.018412980864884944
59,0.9947338982456538,0.016893289696126988
60,0.9938935629126071,0.018532530584386277
61,0.9942296973797453,0.015854766711616355
62,0.9941176526686725,0.018120233825354444
63,0.9941736746902893,0.01647758547625738
64,0.994033618968408,0.017230669283482547
65,0.9940896413239444,0.018275863549614024
66,0.994901965479223,0.015508592267730567
67,0.9943697532685865,0.016272302359939
68,0.9950980438905603,0.015895829801481114
69,0.9944817976457399,0.017145298568389856
70,0.9940056077906397,0.018379786729227937
71,0.9950140103572557,0.015274588643715564
72,0.994677876224037,0.015114484738400538
73,0.9945378200012762,0.01663241482341267
74,0.994173675024209,0.016805888794019168
75,0.9948179321128781,0.01584913131947393
76,0.9952941219679782,0.015281601278105633
77,0.9956582672789651,0.013597795772206033
78,0.9951260550683286,0.01475457029720587
79,0.994649864879309,0.015532352773474542
80,0.9948739543014548,0.01499688636405543
81,0.9945938426907323,0.01638657729864037
82,0.9952380997794015,0.015614965886813253
83,0.9951260547344091,0.013545071792223683
84,0.9944257754571632,0.016766359012197564
85,0.9950980435566408,0.014573575662409383
86,0.9956862786236931,0.013492026325012051
87,0.9951540662460968,0.015236332772820745
88,0.9950140103572557,0.015069231452380897
89,0.9955462225678922,0.013641314378226892
90,0.9953221331457464,0.013880918316987567
91,0.9953781553343231,0.013213510509130548
92,0.9949579878347594,0.01538590295313654
93,0.9959383792236072,0.012964728040287173
94,0.9950980437236006,0.014737120079650596
95,0.9954621892015473,0.013835109932580391
96,0.9956582674459249,0.013035876690370539
97,0.9968347369121904,0.010406058336922711
98,0.9956022449234286,0.014907642882737965
99,0.995294122134938,0.013993442715682071
